Quali sono i tuoi hobby?	Quanti libri leggi all'anno?	Quali sono i tuoi generi preferiti?
Leggere, Suonare, Cantare, Ballare, Serie tv/film	Tra 1 e 3	Storico, Fantascienza, Avventura, Satira
Leggere, Suonare, Videogiochi, Serie tv/film	Pi� di 5	Fumetti, Fantascienza, Fantasy, Poesia
Leggere, Cantare, Serie tv/film, Viaggiare, Cucinare	Pi� di 5	Drammatico, Romantico, Fantasy, Avventura, Romanzo di formazione, Horror
Leggere, Videogiochi, Sport	Tra 1 e 3	Giallo, Storico, Fumetti, Avventura, Horror
Leggere, Cantare, Serie tv/film, Viaggiare	Tra 1 e 3	Drammatico, Fantascienza, Fantasy, Poesia
Leggere, Ballare, Serie tv/film, Cucinare	Tra 1 e 3	Giallo, Romantico
Leggere, Videogiochi, Serie tv/film, Viaggiare, Cucinare	Pi� di 5	Giallo, Storico, Fantascienza, Avventura
Leggere, Sport, Arte	Tra 3 e 5	Storico, Avventura
Leggere, Ballare, Serie tv/film, Viaggiare	Tra 1 e 3	Romantico, Storico, Fumetti, Avventura, Romanzo di formazione
Ballare, Viaggiare, Cucinare	Tra 1 e 3	Fantasy, Horror
Leggere, Videogiochi, Serie tv/film, Viaggiare, Arte	Tra 3 e 5	Storico, Avventura, Poesia
Leggere, Serie tv/film, Arte	Pi� di 5	Giallo, Storico, Fantasy, Avventura
Leggere, Suonare, Cantare, Viaggiare, Cucinare	Tra 3 e 5	Romanzo di formazione, Scienza
Videogiochi, Serie tv/film, Viaggiare, Sport	Nessuno	Fantascienza
Leggere, Viaggiare, Arte	Tra 1 e 3	Storico, Fantascienza, Fantasy, Horror
Serie tv/film, Cucinare	Nessuno	Fantascienza, Fantasy, Avventura
Videogiochi, Serie tv/film	Nessuno	Fumetti
Leggere, Viaggiare, Cucinare, Arte	Pi� di 5	Romantico, Storico, Avventura
Leggere, Serie tv/film, Cucinare, Arte	Tra 3 e 5	Giallo, Drammatico, Fumetti, Fantasy, Avventura
Cantare, Serie tv/film, Viaggiare, Arte	Tra 1 e 3	Drammatico, Romanzo di formazione, Poesia
Serie tv/film	Pi� di 5	Giallo, Drammatico, Fantasy, Romanzo di formazione
Videogiochi, Serie tv/film, Viaggiare	Nessuno	Giallo, Fantascienza, Fantasy, Avventura
Videogiochi, Serie tv/film, Viaggiare, Sport	Tra 1 e 3	Giallo, Fantascienza, Fantasy, Horror
Leggere, Serie tv/film, Viaggiare, Sport	Pi� di 5	Giallo, Saggi
